     X (m)          Y (m)        Depth (m)
     60.3353       10.2083      -39.2732 
     64.2141       10.1518      -39.2600 
     72.2315       10.0890      -39.1305 
     78.1635       10.0029      -39.2893 
     66.3121       12.1488      -39.1460 
     72.2954       12.0890      -39.0806 
     74.3384       12.0676      -39.0707 
     76.2507       12.1581      -39.1682 
     78.2815       12.0955      -39.2070 
     44.2935       14.0898      -39.1094 
     46.2531       14.1062      -39.1141 
     52.2466       14.1698      -39.0496 
     54.2056       14.2393      -39.0136 
     56.2755       14.1211      -39.1027 
     58.2704       14.1488      -39.1426 
     60.1968       14.1771      -39.1302 
     62.2306       14.0804      -39.0888 
     64.3139       14.1069      -39.0214 
     78.2644       14.1151      -39.0748 
     80.2557       14.1799      -39.1300 
     32.2812       16.1706      -39.0513 
     48.2920       16.1212      -39.0207 
     58.2675       16.1805      -38.9134 
     68.2921       16.1818      -38.8632 
     52.2737       20.1679      -38.5757 
     68.2405       20.1642      -38.4813 
     74.2238       20.1557      -38.3591 
     88.2973       20.1701      -38.6074 
     30.2522       22.0825      -38.6753 
     44.3378       22.0917      -38.3829 
     30.2240       24.1648      -38.2598 
     16.1505       26.0891      -38.5868 
     44.2170       64.1183      -38.5757 
     50.3059       64.2168      -38.3025 
     30.2334       68.1388      -38.3965 
     70.2957       68.2093      -38.0688 
     72.3288       68.1115      -37.9945 
     28.3379       70.1643      -38.5808 
     10.2596       72.1581      -38.0510 
     16.1934       72.1404      -38.1951 
     20.2767       72.1699      -38.3598 
     16.2769       74.1046      -38.4510 
     46.2889       74.1674      -38.0867 
     10.2350       76.1788      -38.7158 
     86.2673       76.1131      -37.1470 
     74.2478       78.1413      -37.4003 
     12.2775       80.0743      -38.7534 
     14.2612       80.1199      -38.7159 
     64.2116       80.1265      -37.3982 
     28.2666       82.1650      -38.1034 
     80.2760       82.1677      -38.0582 
     10.2006       84.1459      -38.6396 
     22.3096       84.1891      -38.1027 
     26.2203       84.1340      -37.9694 
     72.2875       84.1556      -37.9506 
     74.2738       84.1411      -37.9488 
     80.2171       84.1258      -37.9212 
     84.3171       84.2077      -37.9912 
     88.2253       84.0958      -38.0745 
     90.2654       84.1255      -38.0247 
     20.2545       86.1239      -38.0787 
     26.2463       86.1880      -37.8398 
     30.1619       86.1270      -37.8267 
     42.3082       86.1839      -38.6590 
     70.2511       86.1015      -37.8451 
     72.2317       86.1899      -37.8229 
     74.2850       86.1627      -37.8523 
     80.2670       86.1227      -37.7886 
     84.2897       86.1663      -37.8288 
     86.1515       86.1301      -37.9202 
     90.3289       86.1520      -37.8998 
     14.2476       88.1730      -38.0387 
     18.2601       88.1579      -37.9255 
     24.2204       88.1946      -37.7797 
     26.2496       88.1534      -37.7211 
     38.2477       88.1455      -38.4681 
     40.3462       88.1595      -38.3985 
     44.2114       88.1039      -38.3466 
     48.3036       88.2113      -38.3136 
     64.2928       88.1165      -37.8239 
     70.2709       88.1145      -37.6735 
     76.2125       88.1560      -37.6279 
